brand,categories,content,discount,num_review,product,regular,star,title
VetOne,"Pharmacy,Medications,Devices & Supplies","There were only 2 reviews for this item, so I read the description carefully and took a chance.  It was the right choice.  The tip of this piller is silicone and is split, so I would think most pills would fit in it.  The capsule I had to administer is the perfect fit.  The other half pill is a bit small, but still works.  It is safe for inserting - I like that the most.  The second most benefit - no bit fingers!",21.71,3,"VetOne Pet Piller for Dogs & Cats, 12 count",21.71,4.3,pill popper
VetOne,"Pharmacy,Medications,Devices & Supplies",When i ordered this pill gun i was expecting to only receive one. I guess i didn't read the description right because i got a pack of 12! That's a wonderful price for it.,21.71,3,"VetOne Pet Piller for Dogs & Cats, 12 count",21.71,4.3,great price
VetOne,"Pharmacy,Medications,Devices & Supplies",My dog's pill is small. The grip at the tip works great for grasping the pill.,21.71,3,"VetOne Pet Piller for Dogs & Cats, 12 count",21.71,4.3,Works fine
Vetivex,"Dog,Healthcare,Digestive & Urinary,Digestive Health",,9.49,0,"Vetivex Lactated Ringer’s and 5% Dextrose Injection Solution, USP for Dogs, Cats & Horses, 1-L",9.99,0,
Onsior,"Pharmacy,Pain Relief & Arthritis",We had gone on vacation and realized we didn’t have enough medication to get through. Our little Bentley is in pain due to mauling by a much larger dog. Thank you for helping,0.97,1,Onsior Tablets for Dogs,1.02,5.0,Refill medicine
Lisinopril,"Pharmacy,Health Conditions,Heart & Blood Pressure",,0.06,0,Lisinopril (Generic) Tablets,0.06,0,
Fludrocortisone,"Pharmacy,Health Conditions,Thyroid & Hormone",,0.62,0,"Fludrocortisone Acetate (Generic) Tablets, 0.1-mg, 1 tablet",0.65,0,
Muricin,"Pharmacy,Skin & Coat",,12.82,0,"Muricin Ointment for Dogs, 2%, 15 gram",13.49,0,
Iverhart Max,"Pharmacy,Heartworm",My vet recommended this product to us for my 7 lb chinese crested Poppy. To my surprise she really enjoys the taste and will eat it within seconds.  I have never had a dog like their heartworm preventative.  So happy this was recommended to us and my Poppy likes it.  Chewy.com has a great price on it as well.  Thanks Chewy,33.61,1,"Iverhart Max Soft Chew 6-12 lbs, 6 treatments (Purple Box)",35.38,5.0,My Chinese Crested Actually LOVES her Heartworm Meds
Bravecto,"Dog,Flea & Tick,Spot Treatments",I ordered the topical because we have such trouble giving our dog the chew.  On the outside of the box it stated one vial of topical but inside it was a chew.,49.0,6,"Bravecto Topical Solution for Dogs, 22-44 lbs, 1 treatment (Green Box)",49.0,4.2,Topical vs Chew
Bravecto,"Dog,Flea & Tick,Spot Treatments",No fleas. Still itches a lot but that’s from allergies. Easy to apply.,49.0,6,"Bravecto Topical Solution for Dogs, 22-44 lbs, 1 treatment (Green Box)",49.0,4.2,No More Fleas
Bravecto,"Dog,Flea & Tick,Spot Treatments","My smart dog just knows when I have to give her a pill, no matter how I disguise it!  So when I saw that Bravecto has a topical solution I decided to try.  Only gave four stars because I didn't see that the little tube of product was already pierced at the top opening and I was trying to turn the top somehow.  It resulted in my hand being covered with product but rubbed excess on the dog and finished the tube up! I do believe she was fully covered around her neck under her collar.  I will know next time!  No flees for 3 months!!!",49.0,6,"Bravecto Topical Solution for Dogs, 22-44 lbs, 1 treatment (Green Box)",49.0,4.2,Better than a pill
